,licence_type,license_no,business_name,dba,street_address,zip_code,city,county,telephone_number,email,hours_of_operation,expiration_date
14,Dispensary,DAAA-G0FY-INCY,"The Station Cannabis Company, LLP","The Station Cannabis Company, LLP",207 NE MARKET ST,74563,RED OAK,Latimer,9184131979,coffeyfarmsok@yahoo.com,Mon to Fri 10 to 8,2023-10-20
15,Dispensary,DAAA-ARU5-CVDO,Smoky Dreams Dispensary LLC,Smoky Dreams,301 S CENTER ST,74344,Grove,Delaware,9188508414,smokydreams20@gmail.com,10 am - 9 pm,2024-02-01
16,Dispensary,DAAA-VYAX-5NNV,"Oklahoma Native Roots Health and Wellness, LLC","Oklahoma Native Roots Health and Wellness, LLC",12 S 4TH ST,73533-7152,DUNCAN,Stephens,5805124000,nativeroots420@yahoo.com,10:00 am - 9:00 pm Monday - Saturday,2024-01-09
17,Dispensary,DAAA-4JHK-XHKP,Vice Capital Dispensary LLC,Lotus Gold,,73107-6914,OKLAHOMA CITY,Oklahoma,(405) 748-0926,ryan.vice@icloud.com,10am-9pm,2023-12-27
18,Dispensary,DAAA-4YD1-QVUT,The Greenwood Cure Inc,The Greenwood Cure Inc,,74106-4903,TULSA,Tulsa,(918) 292-8023,xiaxia23@yahoo.com,10AM-8PM,2024-02-07
19,Dispensary,DAAA-EJNZ-2COE,"3 Leafs Dispensary, LLC","3 Leafs Dispensary, LLC",2464 N YALE AVE,74115-3302,TULSA,Tulsa,9189224718,3leafs2019@gmail.com,9am-9pm Mon- Sat. 10am-6pm Sun,2024-03-27
20,Dispensary,DAAA-XLVV-AOEQ,Green medical patients LLC,Greendoctor420,7448 S PENNSYLVANIA AVE,73159-3321,OKLAHOMA CITY,Cleveland,(405) 768-4374,chris@greendoc420.com,80,2023-11-10
21,Dispensary,DAAA-BH3E-9X0L,"J-J Weed Company, LLC",The Reefer Shack,520 E BROADWAY,74868-4619,SEMINOLE,Seminole,1 (405) 833-1509,thereefershack@gmail.com,10:00 a.m. to 10:00 p.m.,2023-10-30
22,Dispensary,DAAA-VJNL-SLFW,Smart Stop LLC,Smart Stop LLC,2024 SERAN DR,74884,WEWOKA,Seminole,4056417714,thesmartstop@yahoo.com,10am to 7 pm Monday through Friday 10-7 Saturday,2023-02-27
23,Dispensary,DAAA-KNV0-EI2B,Rough Country Cannabis,Rough Country Cannabis,1901 State Rd 48,74701,Durant,Bryan,(580) 257-0358,davidballard1984@gmail.com,Mon - Sun 9am - 11pm,2023-10-02
24,Dispensary,DAAA-UZUV-KVSE,"PAIN FREE BUDS RX, LLC",PAIN FREE BUDS,1023 1/2 S GREEN AVE,73080,PURCELL,McClain,4052137259,justintimepurcell@gmail.com,10A-6P M-F 10A-2P SAT,2022-11-27
25,Dispensary,DAAA-V1OQ-I54K,B and B Alternatives LLC,The Remedy,523 W MAIN ST,74701-5028,DURANT,Bryan,(580) 634-2608,dustin@remedydurant.com,Mon-Wed10am-10pm Thurs-Sat 10am-12am Sun 11am-8pm,2024-01-09
26,Dispensary,DAAA-4KRM-DKJ1,"Emerald Group, Inc.",The Healing Club,,73108,OKLAHOMA CITY,Oklahoma,4055943375,tj.tinsley@egiok.com,10:00 am to 5:00 pm,2024-10-04
27,Dispensary,DAAA-TYLZ-TRCZ,Angel Farmhouse LLC,TNT Cannabis Group,11102 STRATFORD DR,73120-7268,OKLAHOMA CITY,Oklahoma,4052014241,tntcannabis@gmail.com,"Monday - Saturday 9am-11pm, Sunday CLOSED",2023-10-03
28,Dispensary,DAAA-N1WL-B1AY,"THC The Healing Clinic, LLC","THC The Healing Clinic, LLC",204 East Lake Drive,73557,Medicine Park,Comanche,2544150580,traviscraig1695@yahoo.com,Wed - Sat 10am-6pm,2023-09-30
29,Dispensary,DAAA-ZECW-JEGY,PLNT46 LLC,Native Brothers Dispensary on Santa Fe,1016 N SANTA FE AVE,73003-4339,EDMOND,Oklahoma,(405) 562-3034,nativebrotherssantafe@gmail.com,M-Sun 6am-2am,2022-10-19
30,Dispensary,DAAA-NKXZ-IZZ0,Viva Sativa L.L.P.,Viva Sativa L.L.P.,44780 St Hwy 63,74571-2268,Talihina,Le Flore,9185674300,tlnevills88@att.net,10 a.m. - 8 p.m.,2024-03-07
31,Dispensary,DAAA-NYUI-NCNJ,The Two Romans Garden LLC,State Line Dispensary of Roland,479205 US HIGHWAY 64,74954,ROLAND,Sequoyah,9187746137,dereknetz17_@hotmail.com,9am-9pm,2023-12-10
32,Dispensary,DAAA-4JBP-8NGW,Peaceful ReLeaf LLC,Peaceful ReLeaf LLC,5045 S 78TH EAST AVE,74145-6002,TULSA,Tulsa,(539) 424-5921,peacefulreleaf@gmail.com,11-7:00 M-F 12-6 Sat,2023-12-25
33,Dispensary,DAAA-FULS-S8EF,The House of Chronic LLC,The House of Chronic LLC,5121 SE 15TH ST,73115-3901,Del City,Oklahoma,(405) 706-6244,askrick@aol.com,10:00am -10:00pm,2024-08-24
34,Dispensary,DAAA-NYPB-NOFT,Good Vibes Dispensary LLC,Good Vibes Dispensary,312 W LOCUST ST,74960-4228,STILWELL,Adair,9183450876,goodvibesdispensary@yahoo.com,10am to 8pm,2023-12-25
35,Dispensary,DAAA-V1SN-BQ8I,State Line Dispensary LLC,State Line Dispensary of West Siloam Springs,2230 Highway 412,74338,Colcord,Delaware,9187746137,dereknetz17_@hotmail.com,9-7,2023-09-12
36,Dispensary,DAAA-TDXG-SXCC,Pristine and Green LLC,Pristine and Green LLC,9534 S HIGHWAY 99,74864-6407,PRAGUE,Pottawatomie,4054345430,pgfarmsokc@gmail.com,8-8,2023-12-20
37,Dispensary,DAAA-IEYD-5IMO,Platinum budz LLC,Groovy budz,816 SE 4TH ST,73160-7307,MOORE,Cleveland,4054732854,platinumbudzmoore@gmail.com,10-9,2023-10-02
38,Dispensary,DAAA-IUXC-L0XZ,"AG and KP Enterprises, L.L.C.",The Green Mile II,1205 S SUNNYLANE RD,73115-3011,DEL CITY,Oklahoma,(918) 829-1431,plughousedispensary@gmail.com,10a.m. to 10 p.m.,2024-01-12
39,Dispensary,DAAA-T3MO-4QZS,KOLI BLOOM LLC,KOLI BLOOM - MIAMI,225 E STEVE OWENS BLVD,74354-7714,MIAMI,Ottawa,(918) 798-7913,admin@kolibloom.com,10am - 10pm Mon - Sun,2024-07-05
40,Dispensary,DAAA-NKT8-E6NU,RELEAF DISPENSARY LLC,RELEAF DISPENSARY LLC,3200 DELMAR RD,73115-1205,DEL CITY,Oklahoma,4059005857,releafdispensaryllc@gmail.com,11:00am - 12:00am,2023-09-27
41,Dispensary,DAAA-UHTR-OA1R,"Big Ass Buds, LLC",Exotic Stash Dispensary,3145b SE 44th,73072-9798,Newcastle,McClain,4058508015,bigbudsdispo@gmail.com,10am - 9pm,2023-09-14
42,Dispensary,DAAA-E17G-IGDX,"JIM'S RED BARN, LLC",ZAFRA 420 DISPENSARY,10946 ZAFRA RD,74957,SMITHVILLE,Le Flore,(479) 234-2724,zafra420d@gmail.com,10am to 6pm,2023-11-17
43,Dispensary,DAAA-EKYN-VDOL,Puff Puff Pass Dispensary LLC,Puff Puff Pass Dispensary LLC,100 N BROADWAY ST,74953-3346,POTEAU,Le Flore,9186476380,highoncavanal@yahoo.com,9am-9pm,2023-08-08
44,Dispensary,DAAA-4JBG-TECD,Altcare 12 LLC,Fire Leaf 12,,73108,OKLAHOMA CITY,Oklahoma,(405) 232-7877,paul@fireleafok.com,10:00am - 10pm,2024-05-03
45,Dispensary,DAAA-Q6AR-XCUB,Rolling Stone Laverne Dispensary LLC,Rolling Stoned Laverne,402 s broadway,73848,Laverne,Harper,5809221159,rollingstonedlaverne@gmail.com,10am-10pm,2024-01-01
46,Dispensary,DAAA-JTJY-CA3H,GOODIES SMOKEY GREEN LLC,GOODIES GANJA EXPRESS,4401 NW 63RD ST,73116-1508,OKLAHOMA CITY,Oklahoma,4056386846,dasudeshdhakal@gmail.com,9AM TO 9 PM,2023-12-05
47,Dispensary,DAAA-P7A2-4N4S,Wendell Michael Murphree,Bud Barn Discount Dispensary,624 W MAIN ST,74701-5031,DURANT,Bryan,5803808086,ttombriggs1@aol.com,10am to 10pm,2024-06-07
48,Dispensary,DAAA-EJAO-WHGM,F5 MED LLC,Seed Cannabis Co.,,74120,Tulsa,Tulsa,5398671877,bonniecaldwell@f5ind.com,10AM - 8PM,2024-05-24
49,Dispensary,DAAA-VJNC-UVFP,"Mary Jane Dispensary, LLC",Mary Jane Dispensary,2990 SE 19TH ST # 1,73160,MOORE,Cleveland,(405) 735-9777,delta@maryjaneokc.com,9 A:M to 7:00 P:M,2024-03-08
50,Dispensary,DAAA-R5E2-IWE3,Turtleponics LLC,Elemental Progress,601 N MUSTANG RD,73099,YUKON,Canadian,(405) 467-4214,turtleponicsllc@gmail.com,10 - 9,2024-09-19
51,Dispensary,DAAA-EJDC-BIR8,Crystal Cannivore LLC,Crystal Cannivore,118 E MAIN ST,74056-5214,PAWHUSKA,Osage,(918) 607-1470,bradpeixotto@icloud.com,10 AM - 8 PM,2023-10-25
52,Dispensary,DAAA-S4QE-25QE,Nature's Cure Dispensary lll LLC,Nature's Cure Dispensary lll LLC,320 South Kelly Avenue,73003,Edmond,Oklahoma,(405) 730-6080,liztrujiloo73500@gmail.com,10:00am-10:00 pm,2023-03-01
53,Dispensary,DAAA-4JK0-LLS7,918 ROOTS LLC,918 ROOTS,228 S Main,74401,MUSKOGEE,Muskogee,9187181932,rcs.roofing@yahoo.com,9AM TILL 10PM,2023-05-16
54,Dispensary,DAAA-NYQV-JUNQ,Michael Dwain Cook,The Green Herb Cannabis Depot,2008 N 14TH ST,74601-1917,PONCA CITY,Kay,5807491146,greenherbcannabis@gmail.com,10 am -8 pm,2023-12-11
55,Dispensary,DAAA-NJ3G-QDZR,"FS1113, LLC",Capital Dank Shawnee,,74804-4079,SHAWNEE,Pottawatomie,(405) 585-2967,jfd711@gmail.com,10-10,2024-01-09
56,Dispensary,DAAA-4JRX-HCGD,American Dispensary LLP,American Dispensary LLP,51275 S Hwy 64,74020,Cleveland,Pawnee,(918) 409-8424,kennybeaumont126@gmail.com,10am-8pm,2023-08-04
57,Dispensary,DAAA-W3SN-WU0Y,"Greenhouse Partners, LLC","Greenhouse Partners, LLC",4413 S HIGH AVE,73129-5431,OKLAHOMA CITY,Oklahoma,4056040067,rahmifeshani@gmail.com,8:00 am to 11:00 pm,2023-12-14
58,Dispensary,DAAA-ZBFN-R9EO,33 DISPENSARY LLC,33 Dispensary,600 W BROADWAY ST,74030-3613,DRUMRIGHT,Creek,4053341231,33dispensary2@gmail.com,9:00AM TO 10:00PM MONDAY THROUGH SATURDAY 10:00AM TO 7:00PM SUNDAY,2023-08-08
59,Dispensary,DAAA-X356-CNBQ,NFUZE LLC,NFuze at Shawnee,722 N HARRISON AVE,74801-7211,SHAWNEE,Pottawatomie,(405) 633-1842,nfuze@elevateok.com,9am to 10pm,2024-01-10
60,Dispensary,DAAA-EYF3-JROL,"World of Weed 2, LLC","World of Weed 2, LLC",,74021-3112,COLLINSVILLE,Tulsa,(856) 313-3795,samdesai4@gmail.com,,2024-04-24
61,Dispensary,DAAA-VYAA-PQOB,"Tulsa Tokes, Inc.",T-Town Medical Marijuana Dispensary,3524 S SHERIDAN RD,74145,TULSA,Tulsa,(630) 800-7634,tgibbs3832@gmail.com,"10:00am-8:00pm Monday - Saturday, Sunday 11:00am - 7:00pm",2024-02-08
62,Dispensary,DAAA-FNOB-9N78,"Down to Cloud Dispensary, LLC",Down To Cloud,1406 FIR ST,73077-5036,PERRY,Noble,5803706960,downtocloudvapeanddispensary@gmal.com,Monday- Saturday from 9:00am-9:00pm,2023-09-27
63,Dispensary,DAAA-MPXP-IQJR,STAY BUZZN INC,STAY BUZZN INC,3151 S 129TH EAST AVE,74134-3213,TULSA,Tulsa,9183849984,staybuzzn@gmail.com,10a to 9p mon to sat 11a to 9p sun,2024-09-15
64,Dispensary,DAAA-CMMO-2QYI,3404 Budz LLc,Royal Budz,,73115,Del City,Oklahoma,(405) 285-0222,2891budzllc@gmail.com,10am-8pm,2023-10-20
65,Dispensary,DAAA-QMFZ-8ZND,"Kushmart, LLC",Meduana,6717 N MAY AVE,73116-3424,OKLAHOMA CITY,Oklahoma,(844) 633-8262,bobbymccomb1@gmail.com,11am-9pm,2024-05-24
66,Dispensary,DAAA-EKE1-9RYV,Stoned 4 Survival L.L.C.,Stoned 4 Survival,1907 N 271,74738,Grant,Choctaw,5807435915,stoned4survival@gmail.com,10 am to 8pm mon -thurs 10-10 fri and sat sun 1-5,2023-11-06
67,Dispensary,DAAA-EKXA-W2IN,ELEVATE APOTHIC LLC,Elevated Apothic Dispensary,2464 S MUSKOGEE AVE,74464-5450,TAHLEQUAH,Cherokee,(918) 708-9440,elevatedapothic@gmail.com,10am-9pm,2024-01-31
68,Dispensary,DAAA-41CO-VQHS,"Right Time Medical, LLC",Lotus Gold Tahlequah,,74464,Tahlequah,Cherokee,(405) 417-5333,pj@cbdplususa.com,10:00 a.m. - 8:00 p.m.,2024-02-21
69,Dispensary,DAAA-AJAL-HIHJ,Kee Kee's Kush LLC,Kee Kee's Kush,5510 E RENO AVE,73117-8418,OKLAHOMA CITY,Oklahoma,(405) 439-3985,kblakes22@gmail.com,8am-12am,2023-12-14
70,Dispensary,DAAA-JJX4-D7OP,"D-LUXE DISPENSARY, LLC","D-LUXE DISPENSARY, LLC",927 S MAIN ST,74066-5401,SAPULPA,Creek,9187012799,dwachob@d-luxedispensary.com,24,2024-03-28
71,Dispensary,DAAA-GIMA-0EKU,Cannabless Retail 17 LLC,Cannabless Retail 17 LLC,,73018-2410,CHICKASHA,Grady,4056354814,legal@cannabless.co,,2025-06-09
72,Dispensary,DAAA-XCQT-RRVQ,"KK Cannabis Holdings, LLC",Euphoria Extracts 8315,8315 S I 35 SERVICE RD STE A,73149,OKLAHOMA CITY,Oklahoma,9162548620,roshanpatel05@gmail.com,10AM-6PM,2023-10-26
73,Dispensary,DAAA-VJEU-YEZU,Starbuds Dispensary LLC,Starbuds Dispensary LLC,2629 NW CACHE RD,73505,LAWTON,Comanche,5806821374,licensing@jesglegal.com,10am - 10pm,2024-04-04
74,Dispensary,DAAA-VYO3-YQHF,Oasis Healing Center LLC,Oasis Cannabis,1013 SW 19TH ST,73160-2806,MOORE,Cleveland,4056765573,admin@oasishealingcenters.com,10am-10pm,2024-03-08
75,Dispensary,DAAA-EKHO-QAZZ,DMBE LLC,Kure Collective,2822 NW 10TH ST,73107-5314,OKLAHOMA CITY,Oklahoma,4053856062,tbrown591944@gmail.com,11AM TO 8PM,2023-12-19
76,Dispensary,DAAA-EJRS-5FMU,BIG CHEEF DISPENSARY LLC,BIG CHEEF DISPENSARY LLC,219 South Sooner Rd,73115,Del City,Oklahoma,4055376859,dhenry.1984@gmail.com,10AM-8PM,2023-10-04
77,Dispensary,DAAA-VY5S-OIJ6,KD Ventures LLP,THE FARMACY DISPENSARY,4208 SW 149TH ST,73170-9749,OKLAHOMA CITY,Cleveland,4056768859,thefarmacyon149@gmail.com,Open 24 Hour - 7 Days a Week,2024-03-22
78,Dispensary,DAAA-AMIQ-YJWZ,FREEDOM CANNABIS DISPENSARY LLC,FREEDOM CANNABIS DISPENSARY,4301 SE 15TH ST,73115-3000,DEL CITY,Oklahoma,4057248484,freedomdispo@gmail.com,8:00 A.M.-12:00 P.M.,2023-11-01
79,Dispensary,DAAA-EKFV-BQ4X,Sweet Leaf Farmacy LLC,Sweet Leaf Farmacy,,74731,Cartwright,Bryan,5806912005,kwadwo20@gmail.com,9-9 mon-thurs 9-10 fri & sat 11-6 sun,2023-09-30
80,Dispensary,DAAA-EYPO-LQZG,Aunt B's Remedies LLC,Aunt B's Remedies LLC,1313 6th street,73565,Ryan,Jefferson,5802285304,brandihouston75@gmail.com,11:00 am - 7:00 pm,2024-02-14
81,Dispensary,DAAA-4JPQ-UZT6,"Wayne's World Dispensary, LLC","Wayne's World Dispensary, LLC",13230 MORRIS LOOP,74932,CAMERON,Le Flore,4796517529,cynthiasdepo@gmail.com,8:00AM to 5:00 PM M-S,2024-03-20
82,Dispensary,DAAA-VYJV-JR8M,Living Well Canabis Dispensary LLC,Living Well Dispensary,229 North Main,73092-0026,VERDEN,Grady,4054537257,jareddebbie777@gmail.com,6:00AM-10:00 PM,2023-09-27
83,Dispensary,DAAA-NYIA-XAUL,"PIRPICH INDUSTRIES, LLC",Big Buds Dispensary,11505 E 83RD ST N,74055,OWASSO,Tulsa,(918) 916-2477,ilikebigbudsnaturalreleaf@gmail.com,24 hours,2024-04-11
84,Dispensary,DAAA-CVE5-QQRY,Arbuckle Farmacy LLC,Arbuckle Farmacy LLC,1601 W BROADWAY AVE,73086-4243,SULPHUR,Murray,5808604424,arbucklefarmacy@gmail.com,M-Th 8am-8pm Fri 8am-10pm Sat 10am-10pm Sun 11-7,2023-11-02
85,Dispensary,DAAA-JFXY-EBX8,"Dank Banq, LLC","Dank Banq, LLC",13704 S Union Place,74033,Glenpool,Tulsa,5802160105,dankbankretail@gmail.com,9:00-9:00,2024-03-29
86,Dispensary,DAAA-9A59-2HZF,Lemon Land LLC,Lemon Cannabis Edmond,1016 N Santa Fe Ave,73003,Edmond,Oklahoma,(918) 814-7141,hello@lemoncannabis.com,9AM - 10PM,2024-09-26
87,Dispensary,DAAA-BJKR-XKFR,HAPPY JACKS DISPENSARY LLC,HAPPY JACKS DISPENSARY LLC,2328 OKLAHOMA AVE,73801-4004,WOODWARD,Woodward,(559) 365-0684,fairviewhorizons@gmail.com,1600-2000,2023-07-05
88,Dispensary,DAAA-TZQN-U3VL,Pirpich Industries LLC,Big Buds Natural Releaf,6546 E 31ST ST,74145-1202,TULSA,Tulsa,9189162477,ilikebigbudsnaturalreleaf@gmail.com,24 hrs,2024-07-14
89,Dispensary,DAAA-NK0S-3ZXL,K & K Enterprises LLC,Broadleaf,8355 N OWASSO EXPY,74055-2178,OWASSO,Tulsa,9184014244,broadleafoils@gmail.com,9-10 Mon-Thur Fri 10-12 midnight Sat 10-12 midnight,2024-01-10
90,Dispensary,DAAA-UTLH-O12D,"THE SMOKEHOUSE DISPENSARY, LLC","THE SMOKEHOUSE DISPENSARY, LLC",1912 E 3RD ST,74104-1814,TULSA,Tulsa,9185058007,chasdynorman@gmail.com,8:00am - 5:00pm or as needed for company operations,2023-12-06
91,Dispensary,DAAA-4KGG-4ICW,"GREEN REMEDIES, LLC",GREEN REMEDIES,108 E DUKE ST,74743-4033,Hugo,Choctaw,(580) 743-8019,greenmedzok@gmail.com,M-SAT 11 A.M .- 9 P.M. SUNDAY 12 P.M. - 9 P.M.,2024-03-21
92,Dispensary,DAAA-NKJ6-9STH,Tree Life Dispensary LLC,Tree Life dispensary,4110 N MACARTHUR BLVD,73122-3006,WARR ACRES,Oklahoma,(405) 367-7593,treelifeokc@gmail.com,Monday to Saturday 11:00 AM to 8:00 PM,2023-03-21
93,Dispensary,DAAA-EJYL-3Y68,OKLATEX HOLDINGS LLC,MARI MED,13406 S MEMORIAL DR,74008-3104,BIXBY,Tulsa,(918) 943-5106,bobbiemarimed@gmail.com,10 AM TO 7 PM M-S 12 to 4 Sun,2023-09-18
94,Dispensary,DAAA-4YSV-JWKB,"The Green Collective Dispensary, LLC",The Green Collective,,73116,Oklahoma City,Oklahoma,(405) 590-1978,thegreencollective6425@gmail.com,10-8 M-Sat 12-6 Sun,2024-01-12
95,Dispensary,DAAA-EYEZ-VJEY,"Green Horizons, LLC",Flight 420,3455 HIGHWAY 412 W,74964-5002,WATTS,Delaware,9182356595,latisha@greenhorizonsok.com,24 HOURS,2023-08-31
96,Dispensary,DAAA-V16J-CHBM,Dubway Dispensary LLC,Dubway Dispensary LLC,210 N HOKE ST,74075-7705,STILLWATER,Payne,4053324121,heidbrandy442@gmail.com,Monday-Thursday 9am-9pm Friday-saturday 9am-10pm Sunday- Closed,2023-11-14
97,Dispensary,DAAA-FLO6-KYQK,Sun Valley Management LLC,Chouteau House of Fire,1400 S CHOUTEAU AVE Suite A,74337,Chouteau,Rogers,6025714010,michael@greywolfeholdings.com,24 hours,2023-11-06
98,Dispensary,DAAA-VJO1-VDFW,MME Enterprises LLC,Gifted Dispensary,10932 NW EXPRESSWAY STE A,73099,YUKON,Canadian,(405) 239-9798,erinhg12@gmail.com,10:00am-10:00pm Sunday 11:00pm-9:00pm,2024-03-01
99,Dispensary,DAAA-HJI7-JJUV,"Medicinal Life Headquarters, LLC","Medicinal Life Headquarters, LLC",6125 E 31ST ST,74135-5411,TULSA,Tulsa,9184425855,medlifehq@gmail.com,10:00 a.m. - 10:00 p.m.,2023-08-07
100,Dispensary,DAAA-MLPN-BRAJ,KBNS INC,Sasquatch Gardens,300 S MAIN ST,74501-5438,MCALESTER,Pittsburg,9184209671,nacho74501@yahoo.com,9AM -7PM,2024-03-15
101,Dispensary,DAAA-NYXB-G65N,"GREEN CULTURE, LLC",GREEN CULTURE JAY,448 S Main St,74346,JAY,Delaware,(918) 899-1919,uazhar@gmail.com,9AM - 10PM,2023-11-08
102,Dispensary,DAAA-VKED-VD4W,"Stars and Stripes Dispensary 2, LLC","Stars and Stripes Dispensary 2, LLC",10605 S WESTERN AVE,73170-6200,OKLAHOMA CITY,Cleveland,(405) 676-8749,dispo@starsandstripesok.com,10:00 a.m. to 9:00 p.m.,2023-12-25
103,Dispensary,DAAA-RT34-CAQQ,L1F3 Capital LLC,L1F3 Experience,424 SW 44TH ST,73109-6927,OKLAHOMA CITY,Oklahoma,4056029873,kevinjones.kej@gmail.com,10AM-12AM,2023-10-11
104,Dispensary,DAAA-NJK1-HL7Q,"ReLeaf Organics, LLC",ReLeaf Organics,314 S LYNN RIGGS BLVD,74017-7810,CLAREMORE,Rogers,9189234900,lstonebarger1978@gmail.com,8am-8pm,2023-10-18
105,Dispensary,DAAA-7J5J-WQUI,"Molly Asset Management, Inc.,","The Herbin Joint, AKA Herbin Joint",,74063-2729,SAND SPRINGS,Tulsa,(918) 514-0098,helicopterj@gmail.com,10:00 to 10:00 M-Sat Sunday 10:00 to 6:00,2023-10-06
106,Dispensary,DAAA-NAK2-3HWX,Raw Wellness LLC,Raw Wellness,804 E MAIN ST,74023-2743,CUSHING,Payne,9182239277,kalli@rawoklahoma.com,24 hours,2023-07-11
107,Dispensary,DAAA-NJ7J-28N7,Jade Wellness Center LLC,Jade Wellness Center,9402 East 55th Place B,74145,Tulsa,Tulsa,9184384820,jadewellness918@gmail.com,10:00 am-8:00 pm,2023-09-27
108,Dispensary,DAAA-CPRU-FNUQ,"Bumpy Brick Dispensary, LLC","Bumpy Brick Dispensary, LLC",209 W 8TH ST,74884,WEWOKA,Seminole,4056835006,radeant@yahoo.com,10am-7pm,2023-11-27
109,Dispensary,DAAA-41JA-OPSU,B2B Ventures LLC,B2B Ventures LLC,6714 N CLASSEN BLVD,73116-7333,OKLAHOMA CITY,Oklahoma,(720) 296-2683,greenescapeokc@gmail.com,,2023-11-17
110,Dispensary,DAAA-41OT-ZVO5,"DE AND SE, INC",CHILLIN' STATION,2009 N MAIN ST,74501-3042,MCALESTER,Pittsburg,9183029996,dwightbomercpa@yahoo.com,"8AM TO 10PM M-TH, 8AM TO 11PM FRI, 9AM TO 11PM SAT, CLOSED SUN",2024-05-30
111,Dispensary,DAAA-JQEW-7LYU,Green medical patients LLC,Greendoctor 420,7105 W HEFNER RD,73162-4511,OKLAHOMA CITY,Oklahoma,(405) 506-0259,chris@greendoc420.com,80,2024-05-10
112,Dispensary,DAAA-DJ2A-PYDY,Red Dirt Experience LLC,Red Dirt Experience LLC,1036 E STATE HIGHWAY 152,73064-5126,MUSTANG,Canadian,9723336519,red420dirt@gmail.com,M-SAT 9AM to 9PM,2024-02-28
113,Dispensary,DAAA-30OZ-ANND,Peer Pressure Dispensary LLC,Peer Pressure Dispensary LLC,816 W BRITTON RD,73114-2716,OKLAHOMA CITY,Oklahoma,4053619960,jackieproby32@gmail.com,10 am to 10 pm,2023-11-03
114,Dispensary,DAAA-BTLO-I8RW,Natures Remedy Farmacy LLC,Natures Remedy Farmacy,119 N Grand St,73028,Crescent,Logan,4055316987,twistedsis420@gmail.com,10-7,2024-02-01
115,Dispensary,DAAA-NYUO-NUKI,"Royal Leaf, LLC",Royal Leaf Dispensary,124 E CHOCTAW AVE,74501-5024,MCALESTER,Pittsburg,9183029263,wulz.steve@gmail.com,10am-8pm,2022-10-02
